"PDF","0.010000","0.030000","0.050000","0.070000","0.090000","0.110000","0.130000","0.150000","0.170000","0.190000"
"White","0.020000","0.037000","0.070000","0.051000","0.101000","0.113000","0.120000","0.138000","0.183000","0.167000"
"R2","0.009000","0.037000","0.052000","0.046000","0.094000","0.122000","0.127000","0.154000","0.187000","0.172000"

"Error:"
"White","0.010000","0.007000","0.020000","-0.019000","0.011000","0.003000","-0.010000","-0.012000","0.013000","-0.023000"
"R2","-0.001000","0.007000","0.002000","-0.024000","0.004000","0.012000","-0.003000","0.004000","0.017000","-0.018000"
